stemming_ulasan,label
kecewa shopee baru bintang bintang sya klu cod eh jemput trus gagal x belanja tuh trus cabut belanjacod tuh x trus blanja hp sesuai pesan kecewaalah hapus aplikasi trimakasih shopee nyaman,2
kerja kurir shopy buruk x oder barang beda sistem cod kurir shopy kirim rumh pdahal history sudh rumh kurir shopy tidk telepon kasih kabar customernya jadwal ulang minggu barang kunjung kirim oderanya oder harga langsung hubung call center shopy gak sholusinya suruh tunggu,1
order siang bayar jahat kelamin shopay malemnya tu toko hilang notifnya toko daftar tetiba barang cod sayang g tempat dibayarin tetangga unboxing barang jelek harga mahal cek toko kirim resi g daftar shopee ecommers lacak nopenya daftar,1
ngasi bintang tlah mndaptkan ganti market online dr sdh ringan dlm hal ongkos kirim trnyta bbrpa grtis ongkos kirim bnyak plihan jasa kirim skrg mmlih jasa kirim murah bikin kesal skrg biaya tmbhan dlm kirim biaya tangan cod bsr biaya,1
senang belanja apk lambat udh gtu sistem bayar dpb tulus cod chekout gk cod toko produk toko dn produk order tolong tindaklanjuti,1
suka shopee potong jual besar cod beli bayar biaya layan lumayan berat depan hilang biaya layan biaya berat kalah belanja total besar biaya layan besar,2
ok cod cek puas cod cek,1
bagus kirim cepat sesui deskripsi sesuai harga cod voucher gratis ongkos kirim shopee the best buru coba belanja shopee jamin bahagia,1
becanda hp ku scan qr code log in scan kamera copot,2
ekspedisi buruk sanggup bikin ekspedisi bubar paket toko beli rugi paket cod butuh barang,2
guaa kesell shoope update ngeriset hpp gwn download shoope ituu posisi pesan dlm jalan guaa log in lupaa sandi tuh reset sandi enak gilirann log in pakai scan qr gmnaa cobaa loginnya hp dsruh barcode screenshot gk bisaa tuh gambar al hasil gk log in dsruh isi formulir lengkap daftar gk pakai ktp isi formulir pakai foto ktp aduhh parah,1
terima kasih shopee trimakasih ataskeper cayaan kasih saya belanja cod bebas ongkos kirim promo diskon bantu sya sya belanja daerah sya ngak hirnya sya shopee mudah sya belanja ayo aplikasi shopee silah install mudah belanja shopee terima kasih shopee,2
pindah toko belah mentang bayar cod proses pengirimanya beda bayar langsung proses cepat toko belah gk pandang cod gk bayar langsung proses langsung,1
akun shopee aktifin spayletter ga vocer free ongkos kirim bayar cod transfer bank mercant tidak kasih sempat vocer cod biar ga ngutang fikiran ga fokus utang hmm trus potong pajak jual mahal tambah biaya layan biaya untung jual shopee habis potong biaya naikin harga barang ga enak langgan,1
maaf admin kecewa layan shopie expres beli cod bareng tunggu paket giat hari ganggu tunggu paket tunggu paket kunjung kompin penydia barang kenaa barang kembali cod cod ketmu sedia paket kurir kurir paket sya retur s,0
kasih bintang order beras shopee pakai jasa antar shopee express lambat ga terang track transit hub bogor utara cek barang ga loh amazing pegawai shopee orang percaya shopee express order cod harap cepat,1
aplikasi kaya gin pakai voucher gak keteranganya voucher sedia coba aplikasi pakai hp sepupu konfirmasi bayar cod spay later shopee pay gak tolong baik kak kasi org atm bayar,0
voucher ongkos kirim gabisa pakai alas mahal biaya tangan cod voucher gratis ongkos kirim cashback beli toko ijo,1
syukur belanja shopee layan cepat murah diskon ongkos kirim cod bayar tempat kualitas barang terimakasih shopee,1
beli shopee cod asli moga jual shopee sesuai terima kasih,2
sayang seka belanja fi payleter belanja cod,2
tetep cod alamat alamat dukung jangkau kemarin,2
senang belanja shopee voucher toko gratis ongkos kirim harga murah sistem cod game tarik guna untung main sukses jaya,1
shopee belanaja mudah cepat gratis ongkos kirim limpah cod bayar terimakasih shopee,1
suka masya allah mudah belanja ngk belanja baju mekup tinggal chekout trus cod,2
belanja shopee nyaman mudah gratis ongkos kirim kawatir ggal belanja uang akn hilang order barang bayar langsung cod tinggal tunggu rumah order terima kasih shopee moga jaya aminn,1
tipu aplikasi shoopee gak nyelesain transaksi cod luar shoopee jual transaksi shoope akun olah beli akun beli kirim barang sesuai beda pesan beli komplain gak nyelesain,2
aplikasi rumit makan data besar verifikasi sulit pakai qr code aman,0
transaksi cod batal post gabung transaksi batal suka ga cek jual kontrol barang,0
tolong shopinya toko biar jual sd rugi tunggu kasi sm kurir pesan sesuai tolak shopee jaga nama percaya jual ragu biar jual sesuai pesan bayar kurir cod terimakasi,0
akun cod shopee pakai aktif mode beli komplain cs shopee ibu ribu hitung pakai aplikasi shopee akun buka cod parah banding pokok parah banding komen play store capek,2
lumayan bantu belanja online sayang belanja sistem cod batas maksimum biasa cod nyaman sistem cod gak alih pembayan apa ribet tranfer,1
cerita salah toko dishopee tanggung barang kirim sen cod kirim nga ribet cod kemas melulu nga kirim toko eh respons respon mana tolong tindak lanjut kecewa rugi rela beli paket eh kirim maaf sopan,0
bantu repot bayi pergi belanja cod antar rumah,0
pilih cod bilang nihil nyaman bayar metode cod shopee survei konsumen orang bayar sistem online bank lainlain update baru pakai sholeh pay lumayan ubah kampung bayar media bank saldo pada,2
over all ok suka bingung ketntuan gratis ongkos kirim cod pdhl label toko cod mkin kesni ngeselin lambat tetiba ngedowload bayar suka eror eh ngajuin batal gk udh live chat brpa x gk solusi logout login hapus hadehh bner uninstal,0
